,GAME_ID,i_id,i_lineup,i_margin,i_time,index,j_id,j_lineup,j_margin,j_time,level_0,season,was_home_correct,starting,date,prediction_by_matchup_u,prediction_by_matchup_w,k
17,0020800041,1610612760,"(201145, 2404, 693, 201566, 2046)",5,79,1259,1610612750,"(200783, 201567, 2034, 101119, 200751)",-5,79,1261,2008,True,0,2008-11-02,-2.11494850511,0.273608561385,0.0
18,0020800024,1610612746,"(1729, 201154, 1884, 200781, 2549)",2,60,730,1610612743,"(2563, 2747, 947, 2030, 2365)",-2,60,731,2008,True,0,2008-10-31,2.08184762885,-1.57187036079,0.0
19,0020800032,1610612750,"(2744, 2034, 101155, 101119, 200751)",-2,183,1011,1610612742,"(1891, 2572, 1717, 467, 2205)",2,183,1013,2008,True,0,2008-11-01,1.57038264699,2.19001895639,0.0
20,0020800062,1610612744,"(1536, 201148, 101235, 201228, 101142)",0,37,1898,1610612743,"(2546, 2747, 101132, 1853, 2030)",0,37,1901,2008,True,0,2008-11-05,3.50550853609,5.0962939207,0.0
21,0020800010,1610612760,"(2248, 201145, 2555, 2404, 2863)",1,124,301,1610612749,"(2072, 201601, 2124, 2429, 2294)",-1,124,301,2008,True,0,2008-10-29,4.2374911009,4.42653899735,0.0
22,0020800043,1610612753,"(2730, 2586, 1740, 2045, 2749)",4,147,1304,1610612741,"(2736, 2804, 201189, 201565, 200757)",-4,147,1306,2008,True,0,2008-11-03,-3.88392597024,14.2641964782,0.0
23,0020800062,1610612744,"(1536, 201148, 101235, 201228, 101142)",2,101,1890,1610612743,"(200764, 2747, 101132, 2365, 1853)",-2,101,1893,2008,True,0,2008-11-05,4.20943047729,5.12893404471,0.0
24,0020800592,1610612765,"(101161, 2419, 201155, 947, 739)",-1,150,17477,1610612740,"(2561, 1899, 101108, 2446, 200756)",1,150,17492,2008,False,0,2009-01-17,-3.24048888681,-3.70743171842,0.0
25,0020800018,1610612756,"(201609, 2571, 2564, 2405, 255)",0,8,548,1610612740,"(2408, 101108, 1899, 2484, 2446)",0,8,549,2008,True,0,2008-10-30,-7.92582061849,-6.33925941984,0.0
26,0020800059,1610612760,"(2248, 201145, 101130, 2555, 201142)",3,368,1796,1610612738,"(2570, 708, 200765, 1718, 951)",-3,368,1799,2008,True,1,2008-11-05,-1.87091635164,2.29778239786,0.0
27,0020800592,1610612765,"(101161, 2419, 201155, 947, 739)",3,141,17476,1610612740,"(2561, 978, 101108, 2446, 2199)",-3,141,17491,2008,False,0,2009-01-17,0.28222678245,-1.15462194667,0.0
28,0020800049,1610612745,"(1897, 1747, 2397, 1503, 2449)",0,186,1498,1610612738,"(2570, 708, 200765, 1718, 951)",0,186,1500,2008,True,0,2008-11-04,3.26530246881,-26.3933386568,0.0
29,0020800049,1610612745,"(1897, 699, 2397, 201166, 2449)",-3,106,1483,1610612738,"(2754, 2067, 200796, 1718, 201175)",3,106,1485,2008,True,0,2008-11-04,-9.29922435392,-38.4880258396,0.0
30,0020800033,1610612740,"(2408, 2050, 1899, 2229, 2446)",-3,133,1016,1610612739,"(2544, 2753, 980, 200789, 1887)",3,133,1018,2008,True,0,2008-11-01,-7.86245327285,-6.96372655358,0.0
31,0020800004,1610612753,"(101162, 200755, 2045, 1499, 2749)",-4,108,112,1610612737,"(2585, 2746, 2230, 1710, 2207)",4,108,112,2008,True,0,2008-10-29,-3.08126093311,7.67279839746,0.0
32,0020800014,1610612744,"(1536, 101142, 101235, 1733, 1894)",-1,125,423,1610612740,"(101108, 1899, 2484, 2446, 200756)",1,125,424,2008,False,0,2008-10-29,-3.0085353484,-1.18110308408,0.0
33,0020800046,1610612742,"(956, 1891, 2572, 1717, 467)",0,5,1386,1610612739,"(2544, 2753, 1112, 980, 2590)",0,5,1388,2008,True,0,2008-11-03,-4.29036005138,-2.58680429808,0.0
34,0020800019,1610612755,"(201152, 1889, 2738, 1882, 101150)",0,27,583,1610612752,"(2768, 201163, 2037, 101126, 101135)",0,27,584,2008,True,0,2008-10-31,3.31770296837,3.55365427426,0.0
35,0020800023,1610612763,"(200768, 200752, 101124, 201564, 2545)",4,79,695,1610612753,"(200755, 1740, 1533, 1499, 2045)",-4,79,696,2008,False,0,2008-10-31,0.844987514732,-0.695108366086,0.0
